Date,Asset,Price,Volume,log_return,volatility_7d,volatility_30d
2023-10-25,ETH,1787.0,354450.0,0.0012206663665517035,36.96326516702707,39.32514121713159
2023-10-26,ETH,1803.38,431170.0,0.009124445681856528,35.30653024724108,39.366246148974675
2023-10-27,ETH,1779.51,274560.0,-0.01332463635077192,42.44632636773621,39.832981960063265
2023-10-28,ETH,1776.2,122940.0,-0.0018617946661090299,44.1022947448148,38.37708735464205
2023-10-29,ETH,1794.94,144110.0,0.010495344355464219,43.510117824805754,38.41443477865324
2023-10-30,ETH,1809.03,277780.0,0.007819194825845463,17.231040880616796,38.45925084242907
2023-10-31,ETH,1815.1,258070.0,0.00334977259421868,15.751281741617964,36.48858815816565
2023-11-01,ETH,1846.57,471930.0,0.017189301532761096,18.923246334108978,33.42431813065481
2023-11-02,ETH,1800.25,368740.0,-0.0254043200037169,28.164403888508943,34.84355683974545
2023-11-03,ETH,1832.26,314980.0,0.017624633432590506,28.289466392905833,35.070440926816346
2023-11-04,ETH,1855.67,171540.0,0.012695639251840795,28.35323737367134,33.983588608736156
2023-11-05,ETH,1892.29,383080.0,0.01954191900830618,29.8877294684235,33.924062946119435
2023-11-06,ETH,1901.01,328710.0,0.004597588042148434,29.960207750329698,33.660221310998935
2023-11-07,ETH,1885.92,332510.0,-0.007969558385602791,31.872611187066784,33.916495324638504
2023-11-08,ETH,1889.35,247640.0,0.0018170890790686575,30.32911975145236,31.075051961731415
2023-11-09,ETH,2120.11,1100000.0,0.11523511955510984,79.53998143906395,48.80107333873402
2023-11-10,ETH,2077.82,556900.0,-0.020148706956830104,85.64068445559904,49.8079868814664
2023-11-11,ETH,2053.45,370970.0,-0.011797961728425755,88.34161352443925,49.45480314087094
2023-11-12,ETH,2044.68,281910.0,-0.004280007412033979,89.1800531961497,49.69009812221916
2023-11-13,ETH,2054.15,529070.0,0.0046208390445086145,89.17902904250886,49.646844433023084
2023-11-14,ETH,1979.4,481920.0,-0.03706836859706609,95.22822770996075,52.17134179641544
2023-11-15,ETH,2058.96,421860.0,0.039407232470228815,97.83776805585572,52.94036717521829
2023-11-16,ETH,1961.77,545340.0,-0.04835387399823245,55.09176805937582,55.592737586404496
2023-11-17,ETH,1960.78,401140.0,-0.000504773691104368,54.952511200830656,55.58349131876715
